OP | REF | HYP
DEL | overview | ****
DEL | and | ****
DEL | main | ****
DEL | themes | ****
DEL | 00 | ****
DEL | 00 | ****
DEL | 00 | ****
DEL | professor | ****
DEL | tamar | ****
DEL | gendler | ****
OK | so | so
DEL | what | ****
SUB | i | why
SUB | want | don't
SUB | to | you
OK | talk | talk
OK | about | about
SUB | in | iii
OK | today's | today's
OK | lecture | lecture
INS | **** | ears
INS | **** | us
SUB | is | duran
SUB | a | the
SUB | strand | he
OK | in | in
OK | the | the
OK | philosophical | philosophical
OK | tradition | tradition
OK | that | that
SUB | looks | books
OK | not | not
SUB | at | act
OK | the | the
SUB | ways | way
OK | in | in
OK | which | which
OK | human | human
INS | **** | endure
INS | **** | connected
SUB | interconnectedness | yes
OK | can | can
OK | provide | provide
OK | meaning | meaning
OK | and | and
OK | the | the
OK | possibility | possibility
OK | for | for
OK | flourishing | flourishing
OK | but | but
SUB | which | what's
OK | looks | looks
OK | rather | rather
DEL | at | ****
SUB | a | act
SUB | certain | us
OK | sort | sort
SUB | of | love
SUB | psychological | the
SUB | detachment | logical
SUB | as | detachment
SUB | a | ask
SUB | way | away
SUB | of | a
OK | dealing | dealing
OK | with | with
INS | **** | a
OK | the | the
OK | inevitable | inevitable
SUB | vicissitudes | toots
SUB | of | all
OK | lived | lived
INS | **** | its
INS | **** | very
SUB | experience | its
OK | and | and
INS | **** | very
INS | **** | sexy
SUB | the | can
SUB | clearest | nation
SUB | articulation | at
SUB | of | all
OK | the | the
OK | outlook | outlook
OK | that | that
SUB | we'll | will
OK | be | be
OK | considering | considering
OK | today | today
OK | in | in
OK | the | the
OK | context | context
DEL | of | ****
OK | the | the
OK | western | western
OK | tradition | tradition
OK | can | can
OK | be | be
OK | found | found
OK | in | in
OK | the | the
OK | writings | writings
SUB | of | all
OK | the | the
OK | philosopher | philosopher
SUB | epictetus | here
SUB | here's | is
SUB | a | all
OK | wonderful | wonderful
OK | imaginary | imaginary
SUB | portrait | portrayed
SUB | of | on
OK | him | him
OK | from | from
INS | **** | seventeen
SUB | 1715 | fifty
SUB | sitting | who
SUB | at | setting
SUB | a | added
OK | table | table
SUB | famously | ce
SUB | with | monthly
SUB | his | wiki
SUB | cane | is
SUB | which | paying
SUB | he | to
SUB | used | use
OK | to | to
OK | walk | walk
DEL | as | ****
DEL | the | ****
DEL | result | ****
SUB | of | salt
OK | his | his
SUB | limp | name
OK | as | as
OK | you | you
SUB | know | don't
SUB | from | found
